"","Player","Score","Time"
"898","Gunnar Weimar",642,8
"899","Gerry Walsh",642,11
"900","Olga Treischl",427,21
"901","Sami Carlson",429,14
"902","Olov Rasmussen",650,10
"903","Mike Friedman",651,8
"904","Sandra Toble",430,18
"905","Sami Carlson",432,20
"906","Gerry Walsh",658,15
"907","Gunnar Weimar",661,23
"908","Viky Moreux",361,18
"909","Mike Friedman",432,3
"910","Sami Carlson",432,8
"911","Gerry Walsh",673,19
"912","Sissy Welch",675,17
"913","Gunnar Weimar",675,11
"914","Erik Warsky",675,6
"915","Sami Carlson",679,22
"916","Olga Treischl",698,5
"917","Gunnar Weimar",707,3
"918","Gunnar Weimar",710,22
"919","Sami Carlson",724,18
"920","Erik Warsky",725,18
"921","Sami Carlson",752,14
"922","Sandra Toble",776,9
"923","Erik Warsky",777,4
"924","Sami Carlson",787,13
"925","Gerry Walsh",787,20
"926","Gerry Walsh",453,11
"927","Gerry Walsh",799,23
"928","Gunnar Weimar",799,12
"929","Olov Rasmussen",807,6
"930","Mike Friedman",462,10
"931","Olov Rasmussen",844,22
"932","Erik Warsky",464,13
"933","Nelly Fleming",848,7
"934","Viky Moreux",849,7
"935","Mike Friedman",470,19
"936","Sissy Welch",470,5
"937","Sissy Welch",373,12
"938","Viky Moreux",376,16
"939","Olga Treischl",471,20
"940","Gerry Walsh",473,23
"941","Erik Warsky",911,10
"942","Sami Carlson",997,23
"943","Gunnar Weimar",487,8
"944","Erik Warsky",487,11
"945","Mike Friedman",1026,9
"946","Sissy Welch",489,11
"947","Gerry Walsh",1097,9
"948","Sandra Toble",492,5
"949","Sami Carlson",500,23
"950","Mike Friedman",504,13
"951","Nelly Fleming",393,13
"952","Viky Moreux",504,12
"953","Sissy Welch",518,NA
"954","Gerry Walsh",522,21
"955","Olga Treischl",524,22
"956","Erik Warsky",526,16
"957","Gunnar Weimar",526,12
"958","Gunnar Weimar",526,19
"959","Nelly Fleming",527,20
"960","Olga Treischl",540,21
"961","Gunnar Weimar",544,6
"962","Sandra Toble",566,12
"963","Nelly Fleming",566,NA
"964","Sami Carlson",570,15
"965","Sandra Toble",574,10
"966","Gerry Walsh",413,12
"967","Olga Treischl",583,13
"968","Mike Friedman",586,12
"969","Sissy Welch",586,17
"970","Mike Friedman",586,4
"971","Viky Moreux",586,23
"972","Olov Rasmussen",414,21
"973","Mike Friedman",598,20
"974","Sandra Toble",600,14
"975","Sissy Welch",605,9
"976","Sandra Toble",605,15
"977","Sami Carlson",608,12
"978","Nelly Fleming",608,8
"979","Viky Moreux",421,5
"980","Sandra Toble",612,13
"981","Sissy Welch",619,12
"982","Erik Warsky",619,25
"983","Sissy Welch",620,16
"984","Gunnar Weimar",621,4
"985","Olov Rasmussen",622,16
"986","Sami Carlson",622,16
"987","Gerry Walsh",421,13
"988","Gunnar Weimar",625,16
"989","Gerry Walsh",625,22
"990","Sami Carlson",627,25
"991","Nelly Fleming",638,24
"992","Nelly Fleming",639,18
"993","Gerry Walsh",640,8
"994","Mike Friedman",641,5
"995","Erik Warsky",650,16
"996","Sandra Toble",650,7
"997","Sissy Welch",432,19
"998","Gunnar Weimar",658,10
"999","Sissy Welch",658,8
"1000","Gerry Walsh",662,21
"1001","Gunnar Weimar",664,3
"1002","Sami Carlson",360,4
"1003","Mike Friedman",673,24
"1004","Erik Warsky",681,10
"1005","Sandra Toble",682,22
"1006","Erik Warsky",682,22
"1007","Nelly Fleming",698,10
"1008","Viky Moreux",707,18
"1009","Sami Carlson",707,15
"1010","Erik Warsky",709,7
"1011","Olov Rasmussen",709,10
"1012","Sami Carlson",447,5
"1013","Mike Friedman",729,5
"1014","Mike Friedman",737,9
"1015","Gunnar Weimar",739,12
"1016","Viky Moreux",742,10
"1017","Gunnar Weimar",749,19
"1018","Gerry Walsh",776,16
"1019","Gerry Walsh",776,4
"1020","Sissy Welch",780,7
"1021","Viky Moreux",780,20
"1022","Sandra Toble",787,25
"1023","Olov Rasmussen",787,13
"1024","Viky Moreux",787,5
"1025","Olov Rasmussen",787,9
"1026","Sami Carlson",787,7
"1027","Olga Treischl",455,21
"1028","Sami Carlson",799,16
"1029","Olga Treischl",799,15
"1030","Olov Rasmussen",459,15
"1031","Sandra Toble",802,15
"1032","Nelly Fleming",819,3
"1033","Gerry Walsh",826,24
"1034","Erik Warsky",826,21
"1035","Mike Friedman",827,23
"1036","Mike Friedman",844,9
"1037","Viky Moreux",844,22
"1038","Gunnar Weimar",848,13
"1039","Sissy Welch",851,11
"1040","Olga Treischl",470,17
"1041","Nelly Fleming",873,18
"1042","Nelly Fleming",880,4
"1043","Sandra Toble",895,20
"1044","Mike Friedman",473,11
"1045","Olga Treischl",476,19
"1046","Gunnar Weimar",945,17
"1047","Olov Rasmussen",956,24
"1048","Sandra Toble",481,5
"1049","Sandra Toble",481,5
"1050","Viky Moreux",987,4
"1051","Sami Carlson",487,16
"1052","Viky Moreux",487,10
"1053","Erik Warsky",487,24
"1054","Sami Carlson",487,11
"1055","Mike Friedman",487,20
"1056","Sandra Toble",487,5
"1057","Gerry Walsh",490,8
"1058","Gerry Walsh",1099,22
"1059","Viky Moreux",497,8
"1060","Gerry Walsh",499,14
"1061","Viky Moreux",500,24
"1062","Sami Carlson",514,6
"1063","Erik Warsky",515,24
"1064","Nelly Fleming",518,15
"1065","Gerry Walsh",394,10
"1066","Mike Friedman",522,16
"1067","Viky Moreux",522,7
"1068","Mike Friedman",527,13
"1069","Gerry Walsh",536,11
"1070","Nelly Fleming",540,3
"1071","Erik Warsky",2160,10
"1072","Nelly Fleming",540,21
"1073","Erik Warsky",544,14
"1074","Olov Rasmussen",552,11
"1075","Sissy Welch",403,18
"1076","Sami Carlson",405,10
"1077","Gerry Walsh",558,11
"1078","Sissy Welch",406,21
"1079","Viky Moreux",573,23
"1080","Gerry Walsh",574,16
"1081","Gunnar Weimar",574,5
"1082","Erik Warsky",574,18
"1083","Gunnar Weimar",576,8
"1084","Sami Carlson",586,22
"1085","Mike Friedman",586,8
"1086","Erik Warsky",592,7
"1087","Sandra Toble",598,13
"1088","Olov Rasmussen",603,9
"1089","Gunnar Weimar",605,25
"1090","Erik Warsky",606,19
"1091","Erik Warsky",608,9
"1092","Olga Treischl",608,17
"1093","Sandra Toble",608,23
"1094","Nelly Fleming",612,17
"1095","Olov Rasmussen",613,12
"1096","Erik Warsky",619,11
"1097","Viky Moreux",624,25
"1098","Nelly Fleming",421,11
"1099","Sandra Toble",625,4
"1100","Gunnar Weimar",625,10
"1101","Nelly Fleming",630,18
"1102","Olga Treischl",637,11
"1103","Mike Friedman",638,25
"1104","Sami Carlson",642,4
"1105","Sami Carlson",642,11
"1106","Erik Warsky",642,12
"1107","Gerry Walsh",642,7
"1108","Mike Friedman",429,8
"1109","Olga Treischl",429,14
"1110","Mike Friedman",646,4
"1111","Sandra Toble",646,20
"1112","Olga Treischl",646,25
"1113","Gunnar Weimar",646,19
"1114","Mike Friedman",650,12
"1115","Nelly Fleming",653,11
"1116","Sissy Welch",432,22
"1117","Gerry Walsh",658,13
"1118","Olga Treischl",658,20
"1119","Olga Treischl",664,4
"1120","Gunnar Weimar",669,6
"1121","Olga Treischl",673,20
"1122","Sandra Toble",675,19
"1123","Sissy Welch",675,13
"1124","Viky Moreux",675,17
"1125","Gerry Walsh",435,7
"1126","Olga Treischl",704,5
"1127","Sami Carlson",704,17
"1128","Mike Friedman",707,10
"1129","Viky Moreux",709,19
"1130","Viky Moreux",709,4
"1131","Olga Treischl",715,6
"1132","Mike Friedman",715,5
"1133","Mike Friedman",719,10
"1134","Sandra Toble",721,11
"1135","Mike Friedman",446,14
"1136","Erik Warsky",447,18
"1137","Viky Moreux",731,20
"1138","Erik Warsky",447,15
"1139","Sami Carlson",447,19
"1140","Sissy Welch",448,5
"1141","Olov Rasmussen",448,15
"1142","Mike Friedman",752,4
"1143","Sami Carlson",755,19
"1144","Olov Rasmussen",760,25
"1145","Sissy Welch",776,11
"1146","Olov Rasmussen",778,22
"1147","Sami Carlson",789,15
"1148","Sissy Welch",789,15
"1149","Mike Friedman",789,16
"1150","Sami Carlson",802,15
"1151","Gerry Walsh",814,14
"1152","Erik Warsky",815,18
"1153","Gerry Walsh",816,11
"1154","Sissy Welch",819,11
"1155","Gerry Walsh",828,6
"1156","Erik Warsky",828,6
"1157","Erik Warsky",828,16
"1158","Gerry Walsh",828,22
"1159","Gunnar Weimar",463,12
"1160","Sandra Toble",844,24
"1161","Nelly Fleming",844,19
"1162","Nelly Fleming",467,18
"1163","Erik Warsky",470,21
"1164","Sami Carlson",470,8
"1165","Sami Carlson",470,22
"1166","Viky Moreux",471,24
"1167","Sami Carlson",473,15
"1168","Gerry Walsh",473,22
"1169","Gerry Walsh",473,10
"1170","Erik Warsky",476,10
"1171","Mike Friedman",487,25
"1172","Olov Rasmussen",1013,4
"1173","Sissy Welch",1013,12
"1174","Gerry Walsh",1013,3
"1175","Gerry Walsh",487,15
"1176","Olga Treischl",489,16
"1177","Nelly Fleming",1046,13
"1178","Olov Rasmussen",491,18
"1179","Sami Carlson",504,6
"1180","Olov Rasmussen",508,7
"1181","Mike Friedman",514,23
"1182","Sami Carlson",521,20
"1183","Sissy Welch",522,6
"1184","Gunnar Weimar",522,18
"1185","Gunnar Weimar",526,11
"1186","Gunnar Weimar",1715,14
"1187","Sandra Toble",526,14
"1188","Erik Warsky",526,18
"1189","Sissy Welch",526,18
"1190","Erik Warsky",537,14
"1191","Gerry Walsh",540,22
"1192","Erik Warsky",541,24
"1193","Nelly Fleming",541,15
"1194","Nelly Fleming",552,8
"1195","Viky Moreux",552,4
"1196","Olga Treischl",353,14
"1197","Sissy Welch",554,19
"1198","Olga Treischl",567,16
"1199","Viky Moreux",573,7
"1200","Mike Friedman",574,23
"1201","Viky Moreux",574,3
"1202","Sissy Welch",410,22
"1203","Mike Friedman",583,17
"1204","Olov Rasmussen",586,16
"1205","Sandra Toble",586,21
"1206","Sissy Welch",591,7
"1207","Sami Carlson",598,5
"1208","Olga Treischl",602,22
"1209","Viky Moreux",603,17
"1210","Erik Warsky",605,5
"1211","Viky Moreux",605,20
"1212","Sandra Toble",605,23
"1213","Erik Warsky",607,9
"1214","Erik Warsky",607,8
"1215","Mike Friedman",607,16
"1216","Erik Warsky",607,18
"1217","Gerry Walsh",607,10
"1218","Mike Friedman",608,13
"1219","Nelly Fleming",620,5
"1220","Olov Rasmussen",622,10
"1221","Olga Treischl",628,7
"1222","Gunnar Weimar",631,12
"1223","Sami Carlson",638,15
"1224","Sissy Welch",642,21
"1225","Mike Friedman",642,8
"1226","Sandra Toble",428,7
"1227","Olga Treischl",647,4
"1228","Olga Treischl",651,21
"1229","Viky Moreux",651,20
"1230","Sami Carlson",658,8
"1231","Olov Rasmussen",666,19
"1232","Sissy Welch",432,9
"1233","Mike Friedman",669,23
"1234","Sami Carlson",670,17
"1235","Sandra Toble",673,7
"1236","Sandra Toble",674,18
"1237","Sandra Toble",675,20
"1238","Sami Carlson",675,8
"1239","Gerry Walsh",675,4
"1240","Viky Moreux",675,20
"1241","Sami Carlson",435,10
"1242","Gunnar Weimar",675,18
"1243","Sissy Welch",677,14
"1244","Mike Friedman",680,6
"1245","Erik Warsky",683,7
"1246","Gerry Walsh",684,16
"1247","Gunnar Weimar",684,10
"1248","Viky Moreux",684,25
"1249","Sandra Toble",698,22
"1250","Olga Treischl",698,13
"1251","Sandra Toble",704,12
"1252","Gunnar Weimar",705,12
"1253","Gunnar Weimar",439,18
"1254","Sandra Toble",442,17
"1255","Viky Moreux",707,22
"1256","Viky Moreux",709,8
"1257","Olga Treischl",709,23
"1258","Sami Carlson",710,12
"1259","Olov Rasmussen",710,22
"1260","Sissy Welch",710,19
"1261","Sissy Welch",710,11
"1262","Gunnar Weimar",712,18
"1263","Sissy Welch",444,15
"1264","Gerry Walsh",719,17
"1265","Gunnar Weimar",721,6
"1266","Sandra Toble",447,19
"1267","Sandra Toble",447,20
"1268","Olov Rasmussen",741,20
"1269","Mike Friedman",749,23
"1270","Olov Rasmussen",755,20
"1271","Olov Rasmussen",761,11
"1272","Gerry Walsh",773,20
"1273","Sissy Welch",776,25
"1274","Sami Carlson",776,8
"1275","Viky Moreux",776,10
"1276","Gunnar Weimar",778,7
"1277","Viky Moreux",779,24
"1278","Mike Friedman",787,3
"1279","Nelly Fleming",789,8
"1280","Sandra Toble",453,4
"1281","Olga Treischl",789,23
"1282","Nelly Fleming",457,12
"1283","Sami Carlson",810,18
"1284","Erik Warsky",814,9
"1285","Erik Warsky",815,18
"1286","Gerry Walsh",816,17
"1287","Sandra Toble",819,11
"1288","Sissy Welch",462,13
"1289","Sissy Welch",842,6
"1290","Sandra Toble",844,14
"1291","Sissy Welch",858,23
"1292","Viky Moreux",872,4
"1293","Nelly Fleming",873,23
"1294","Gunnar Weimar",877,18
"1295","Nelly Fleming",878,10
"1296","Erik Warsky",878,25
"1297","Sami Carlson",878,15
"1298","Gunnar Weimar",882,8
"1299","Sami Carlson",895,19
"1300","Viky Moreux",895,16
"1301","Nelly Fleming",473,20
"1302","Viky Moreux",911,14
"1303","Olga Treischl",911,3
"1304","Gerry Walsh",911,11
"1305","Erik Warsky",911,9
"1306","Erik Warsky",949,7
"1307","Gunnar Weimar",950,11
"1308","Sissy Welch",956,12
"1309","Nelly Fleming",956,17
"1310","Nelly Fleming",969,8
"1311","Sandra Toble",977,9
"1312","Sandra Toble",1013,5
"1313","Mike Friedman",1013,14
"1314","Gunnar Weimar",382,19
"1315","Sami Carlson",1040,20
"1316","Olga Treischl",1046,12
"1317","Sandra Toble",489,18
"1318","Sissy Welch",491,6
"1319","Olga Treischl",1080,3
"1320","Sissy Welch",1080,13
"1321","Sandra Toble",496,7
"1322","Mike Friedman",497,18
"1323","Nelly Fleming",503,8
"1324","Sami Carlson",503,23
"1325","Nelly Fleming",504,20
"1326","Mike Friedman",504,19
"1327","Sami Carlson",506,9
"1328","Olga Treischl",507,7
"1329","Erik Warsky",394,24
"1330","Erik Warsky",522,16
"1331","Sissy Welch",522,14
"1332","Nelly Fleming",522,12
"1333","Erik Warsky",522,12
"1334","Sandra Toble",526,7
"1335","Olga Treischl",526,20
"1336","Sami Carlson",526,6
"1337","Erik Warsky",526,7
"1338","Gunnar Weimar",526,13
"1339","Viky Moreux",532,17
"1340","Viky Moreux",536,14
"1341","Olov Rasmussen",544,11
"1342","Erik Warsky",401,24
"1343","Erik Warsky",544,6
"1344","Erik Warsky",552,24
"1345","Olov Rasmussen",552,4
"1346","Sissy Welch",334,4
"1347","Sami Carlson",405,22
"1348","Sandra Toble",555,6
"1349","Gunnar Weimar",558,24
"1350","Viky Moreux",558,13
"1351","Sissy Welch",558,19
"1352","Gunnar Weimar",563,7
"1353","Sandra Toble",565,6
"1354","Erik Warsky",405,6
"1355","Viky Moreux",407,6
"1356","Viky Moreux",568,17
"1357","Nelly Fleming",574,22
"1358","Gunnar Weimar",574,22
"1359","Sissy Welch",574,6
"1360","Gunnar Weimar",575,8
"1361","Nelly Fleming",575,21
"1362","Gunnar Weimar",408,9
"1363","Erik Warsky",588,7
"1364","Viky Moreux",589,25
"1365","Sandra Toble",418,12
"1366","Olga Treischl",600,24
"1367","Olga Treischl",601,6
"1368","Sami Carlson",602,7
"1369","Sami Carlson",605,4
"1370","Viky Moreux",605,12
"1371","Gerry Walsh",605,9
"1372","Gerry Walsh",605,5
"1373","Erik Warsky",605,21
"1374","Sami Carlson",605,16
"1375","Viky Moreux",605,5
"1376","Nelly Fleming",605,22
"1377","Sissy Welch",605,7
"1378","Mike Friedman",605,5
"1379","Mike Friedman",605,10
"1380","Gunnar Weimar",607,11
"1381","Sissy Welch",608,10
"1382","Nelly Fleming",421,12
"1383","Gerry Walsh",421,14
"1384","Sandra Toble",609,24
"1385","Sami Carlson",612,11
"1386","Gerry Walsh",619,15
"1387","Erik Warsky",622,13
"1388","Sandra Toble",421,5
"1389","Erik Warsky",421,13
"1390","Sissy Welch",625,9
"1391","Viky Moreux",625,8
"1392","Olga Treischl",628,6
"1393","Viky Moreux",628,14
"1394","Olov Rasmussen",630,6
"1395","Erik Warsky",631,4
"1396","Olga Treischl",422,17
"1397","Olov Rasmussen",633,19
"1398","Sandra Toble",642,11
"1399","Gunnar Weimar",426,13
"1400","Gunnar Weimar",427,11
"1401","Nelly Fleming",429,23
"1402","Mike Friedman",429,8
"1403","Erik Warsky",651,8
"1404","Erik Warsky",432,22
"1405","Sandra Toble",658,13
"1406","Gerry Walsh",658,4
"1407","Olov Rasmussen",658,17
"1408","Viky Moreux",658,16
"1409","Sami Carlson",665,22
"1410","Olov Rasmussen",673,6
"1411","Viky Moreux",675,13
"1412","Sandra Toble",675,5
"1413","Olov Rasmussen",675,23
"1414","Olga Treischl",675,9
"1415","Olga Treischl",434,5
"1416","Sami Carlson",680,24
"1417","Sami Carlson",682,8
"1418","Mike Friedman",684,19
"1419","Olga Treischl",684,5
"1420","Gerry Walsh",435,10
"1421","Mike Friedman",435,21
"1422","Nelly Fleming",435,7
"1423","Erik Warsky",698,8
"1424","Gerry Walsh",698,13
"1425","Olov Rasmussen",698,15
"1426","Viky Moreux",698,21
"1427","Mike Friedman",698,6
"1428","Olga Treischl",698,18
"1429","Viky Moreux",709,14
"1430","Nelly Fleming",709,15
"1431","Erik Warsky",709,19
"1432","Sandra Toble",709,13
"1433","Sami Carlson",710,22
"1434","Olga Treischl",710,23
"1435","Olov Rasmussen",710,16
"1436","Gerry Walsh",710,15
"1437","Sandra Toble",710,20
"1438","Viky Moreux",710,5
"1439","Gunnar Weimar",725,16
"1440","Mike Friedman",725,22
"1441","Gunnar Weimar",725,25
"1442","Viky Moreux",447,24
"1443","Nelly Fleming",447,7
"1444","Sissy Welch",734,17
"1445","Sandra Toble",447,17
"1446","Viky Moreux",448,12
"1447","Viky Moreux",737,11
"1448","Olov Rasmussen",737,14
"1449","Olga Treischl",741,17
"1450","Mike Friedman",742,15
"1451","Nelly Fleming",742,15
"1452","Sami Carlson",748,24
"1453","Gunnar Weimar",755,18
"1454","Nelly Fleming",756,24
"1455","Viky Moreux",450,21
"1456","Sissy Welch",761,5
"1457","Erik Warsky",766,20
"1458","Sami Carlson",450,23
"1459","Viky Moreux",773,25
"1460","Mike Friedman",776,10
"1461","Viky Moreux",776,8
"1462","Sandra Toble",776,8
"1463","Viky Moreux",776,16
"1464","Sissy Welch",776,19
"1465","Nelly Fleming",776,6
"1466","Nelly Fleming",776,21
"1467","Sami Carlson",453,23
"1468","Mike Friedman",776,17
"1469","Viky Moreux",776,21
"1470","Erik Warsky",776,19
"1471","Sissy Welch",776,11
"1472","Olga Treischl",777,18
"1473","Olov Rasmussen",787,12
"1474","Sissy Welch",789,20
"1475","Gunnar Weimar",453,20
"1476","Sissy Welch",789,21
"1477","Mike Friedman",802,23
"1478","Erik Warsky",802,19
"1479","Erik Warsky",802,8
"1480","Gerry Walsh",458,4
"1481","Viky Moreux",459,9
"1482","Olov Rasmussen",810,12
"1483","Sissy Welch",815,14
"1484","Viky Moreux",816,19
"1485","Viky Moreux",816,21
"1486","Mike Friedman",826,23
"1487","Sissy Welch",828,11
"1488","Sandra Toble",831,22
"1489","Olga Treischl",835,16
"1490","Mike Friedman",837,14
"1491","Mike Friedman",838,15
"1492","Nelly Fleming",844,6
"1493","Olga Treischl",844,11
"1494","Nelly Fleming",844,4
"1495","Sandra Toble",844,19
"1496","Olga Treischl",467,22
"1497","Gerry Walsh",863,11
"1498","Gerry Walsh",872,25
"1499","Nelly Fleming",873,12
"1500","Sandra Toble",NA,5
"1501","Nelly Fleming",878,16
"1502","Erik Warsky",878,12
"1503","Sissy Welch",879,21
"1504","Viky Moreux",471,20
"1505","Mike Friedman",895,16
"1506","Erik Warsky",895,18
"1507","Viky Moreux",473,10
"1508","Olov Rasmussen",911,24
"1509","Sandra Toble",911,7
"1510","Sissy Welch",911,14
"1511","Nelly Fleming",911,5
"1512","Nelly Fleming",911,8
"1513","Viky Moreux",911,11
"1514","Viky Moreux",911,23
"1515","Erik Warsky",912,11
"1516","Mike Friedman",942,19
"1517","Viky Moreux",945,24
"1518","Gerry Walsh",945,3
"1519","Erik Warsky",950,13
"1520","Mike Friedman",956,10
"1521","Sissy Welch",956,20
"1522","Sissy Welch",481,15
"1523","Sissy Welch",982,18
"1524","Gunnar Weimar",1011,6
"1525","Gerry Walsh",1013,11
"1526","Gerry Walsh",1013,15
"1527","Mike Friedman",487,13
"1528","Sandra Toble",487,6
"1529","Sandra Toble",1026,13
"1530","Gerry Walsh",489,7
"1531","Mike Friedman",489,4
"1532","Sandra Toble",1046,25
"1533","Olga Treischl",1046,18
"1534","Gerry Walsh",490,11
"1535","Nelly Fleming",491,10
"1536","Nelly Fleming",491,4
"1537","Olga Treischl",1097,8
"1538","Gerry Walsh",1120,6
"1539","Gunnar Weimar",496,14
"1540","Nelly Fleming",497,12
"1541","Olov Rasmussen",497,20
"1542","Sami Carlson",499,10
"1543","Sandra Toble",501,12
"1544","Gunnar Weimar",503,22
"1545","Erik Warsky",390,16
"1546","Sissy Welch",504,7
"1547","Nelly Fleming",506,25
"1548","Sandra Toble",506,15
"1549","Nelly Fleming",394,11
"1550","Erik Warsky",523,9
"1551","Viky Moreux",525,6
"1552","Olga Treischl",525,13
"1553","Sandra Toble",526,14
"1554","Erik Warsky",526,16
"1555","Gerry Walsh",526,19
"1556","Sandra Toble",526,16
"1557","Olga Treischl",394,10
"1558","Gerry Walsh",537,22
"1559","Viky Moreux",540,14
"1560","Olga Treischl",540,5
"1561","Gunnar Weimar",540,22
"1562","Olga Treischl",540,21
"1563","Erik Warsky",541,10
"1564","Sami Carlson",544,22
"1565","Olov Rasmussen",544,9
"1566","Olga Treischl",544,7
"1567","Olov Rasmussen",544,16
"1568","Sissy Welch",544,16
"1569","Sami Carlson",2366,23
"1570","Gunnar Weimar",544,22
"1571","Nelly Fleming",544,5
"1572","Sissy Welch",547,24
"1573","Sami Carlson",552,7
"1574","Olov Rasmussen",552,19
"1575","Olov Rasmussen",552,24
"1576","Viky Moreux",404,13
"1577","Erik Warsky",554,15
"1578","Sissy Welch",555,9
"1579","Olga Treischl",567,13
"1580","Sissy Welch",568,25
"1581","Sami Carlson",569,12
"1582","Gerry Walsh",571,6
"1583","Sissy Welch",571,9
"1584","Mike Friedman",573,16
"1585","Erik Warsky",574,22
"1586","Olov Rasmussen",574,22
"1587","Olov Rasmussen",574,7
"1588","Olov Rasmussen",574,6
"1589","Olga Treischl",408,5
"1590","Gunnar Weimar",413,10
"1591","Viky Moreux",578,15
"1592","Nelly Fleming",585,23
"1593","Sami Carlson",589,8
"1594","Mike Friedman",415,20
"1595","Gunnar Weimar",418,13
"1596","Sandra Toble",593,22
"1597","Sandra Toble",593,9
"1598","Olov Rasmussen",593,11
"1599","Sami Carlson",593,20
"1600","Sandra Toble",593,12
"1601","Olov Rasmussen",596,15
"1602","Olov Rasmussen",601,16
"1603","Sandra Toble",603,3
"1604","Sandra Toble",605,10
"1605","Nelly Fleming",605,25
"1606","Olov Rasmussen",605,16
"1607","Gerry Walsh",605,15
"1608","Gunnar Weimar",605,11
"1609","Erik Warsky",605,19
"1610","Olga Treischl",605,9
"1611","Sissy Welch",605,7
"1612","Olov Rasmussen",605,25
"1613","Gunnar Weimar",605,12
"1614","Sissy Welch",607,5
"1615","Olov Rasmussen",607,9
"1616","Viky Moreux",608,3
"1617","Olga Treischl",608,3
"1618","Gerry Walsh",608,5
"1619","Gunnar Weimar",608,22
"1620","Olga Treischl",608,9
"1621","Olga Treischl",608,14
"1622","Viky Moreux",421,6
"1623","Erik Warsky",609,11
"1624","Erik Warsky",612,17
"1625","Olga Treischl",613,4
"1626","Gunnar Weimar",617,25
"1627","Gunnar Weimar",617,13
"1628","Sissy Welch",619,18
"1629","Viky Moreux",621,24
"1630","Sandra Toble",621,11
"1631","Sissy Welch",625,19
"1632","Viky Moreux",625,25
"1633","Viky Moreux",625,11
"1634","Nelly Fleming",625,13
"1635","Gerry Walsh",630,18
"1636","Sissy Welch",421,18
"1637","Erik Warsky",425,15
"1638","Gunnar Weimar",633,13
"1639","Olov Rasmussen",640,8
"1640","Mike Friedman",645,5
"1641","Olov Rasmussen",645,8
"1642","Sandra Toble",645,24
"1643","Gunnar Weimar",429,8
"1644","Mike Friedman",653,10
"1645","Gunnar Weimar",655,15
"1646","Sandra Toble",658,4
"1647","Sami Carlson",658,21
"1648","Gunnar Weimar",658,18
"1649","Gunnar Weimar",658,13
"1650","Olga Treischl",661,6
"1651","Gunnar Weimar",661,16
"1652","Olov Rasmussen",663,21
"1653","Sami Carlson",663,22
"1654","Sissy Welch",663,6
"1655","Gunnar Weimar",664,13
"1656","Mike Friedman",664,24
"1657","Sandra Toble",665,19
"1658","Nelly Fleming",665,5
"1659","Olov Rasmussen",432,15
"1660","Olga Treischl",669,19
"1661","Gunnar Weimar",669,15
"1662","Nelly Fleming",670,14
"1663","Sissy Welch",670,8
"1664","Sandra Toble",670,24
"1665","Gunnar Weimar",672,10
"1666","Nelly Fleming",673,15
"1667","Gunnar Weimar",673,24
"1668","Sami Carlson",675,12
"1669","Olga Treischl",675,21
"1670","Mike Friedman",675,4
"1671","Sissy Welch",675,18
"1672","Olga Treischl",675,17
"1673","Erik Warsky",675,5
"1674","Olga Treischl",675,14
"1675","Gerry Walsh",675,15
"1676","Viky Moreux",684,19
"1677","Olga Treischl",684,12
"1678","Nelly Fleming",684,12
"1679","Erik Warsky",684,23
"1680","Olov Rasmussen",684,21
"1681","Olov Rasmussen",684,5
"1682","Erik Warsky",693,9
"1683","Sami Carlson",694,17
"1684","Viky Moreux",438,8
"1685","Gunnar Weimar",438,5
"1686","Sandra Toble",438,21
"1687","Sandra Toble",438,20
"1688","Sissy Welch",698,24
"1689","Nelly Fleming",698,7
"1690","Gerry Walsh",698,20
"1691","Gunnar Weimar",698,17
"1692","Erik Warsky",698,21
"1693","Gunnar Weimar",442,16
"1694","Olga Treischl",709,5
"1695","Erik Warsky",709,17
"1696","Sissy Welch",709,23
"1697","Erik Warsky",710,4
"1698","Sissy Welch",710,13
"1699","Sami Carlson",710,10
"1700","Nelly Fleming",710,8
"1701","Gunnar Weimar",710,16
"1702","Sandra Toble",710,12
"1703","Erik Warsky",710,8
"1704","Gerry Walsh",444,19
"1705","Gerry Walsh",725,13
"1706","Gunnar Weimar",725,13
"1707","Sissy Welch",446,5
"1708","Olga Treischl",447,8
"1709","Sissy Welch",730,22
"1710","Mike Friedman",731,20
"1711","Mike Friedman",732,8
"1712","Sami Carlson",732,9
"1713","Sissy Welch",732,10
"1714","Sissy Welch",734,18
"1715","Viky Moreux",734,19
"1716","Sami Carlson",447,11
"1717","Gunnar Weimar",735,14
"1718","Sami Carlson",736,6
"1719","Mike Friedman",737,14
"1720","Mike Friedman",737,14
"1721","Sissy Welch",742,8
"1722","Sissy Welch",743,14
"1723","Erik Warsky",747,24
"1724","Mike Friedman",749,12
"1725","Sami Carlson",755,11
"1726","Nelly Fleming",756,22
"1727","Olga Treischl",756,23
"1728","Olov Rasmussen",761,20
"1729","Mike Friedman",763,9
"1730","Olga Treischl",764,20
"1731","Sami Carlson",764,23
"1732","Mike Friedman",764,9
"1733","Sissy Welch",766,10
"1734","Nelly Fleming",766,20
"1735","Olga Treischl",368,6
"1736","Olga Treischl",368,12
"1737","Gerry Walsh",774,12
"1738","Nelly Fleming",775,22
"1739","Olov Rasmussen",776,8
"1740","Viky Moreux",776,4
"1741","Olga Treischl",776,7
"1742","Sami Carlson",776,5
"1743","Mike Friedman",776,8
"1744","Sissy Welch",776,20
"1745","Mike Friedman",776,20
"1746","Olov Rasmussen",776,10
"1747","Olov Rasmussen",776,19
"1748","Olov Rasmussen",776,23
